I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
88,76,-12,-83,50,32,-13,204,216,381,356,215
89,78,-11,-84,50,33,-18,181,181,327,316,201
84,78,-7,-81,45,35,-16,156,151,280,274,188
80,77,-2,-79,41,37,-10,134,125,241,245,173
72,76,4,-74,33,40,-12,111,101,205,215,155
58,72,14,-65,21,43,-18,92,80,172,183,132
56,70,14,-63,20,42,-23,74,61,144,158,116
58,68,10,-63,24,39,-27,56,44,117,125,107
58,64,6,-62,26,35,-28,47,30,97,106,99
58,60,2,-59,28,31,-29,41,17,79,90,95
57,53,-3,-55,30,25,-30,36,7,63,76,92
60,49,-12,-55,36,18,-34,32,-3,51,71,90
60,44,-15,-53,37,15,-34,25,-12,37,59,86
59,42,-17,-51,38,12,-31,18,-21,26,54,78
57,40,-17,-49,37,12,-32,10,-29,15,47,71
50,37,-13,-44,31,12,-35,5,-33,5,36,61
46,36,-11,-42,28,13,-36,3,-36,-2,31,56
41,34,-7,-38,23,13,-37,2,-37,-10,15,55
38,32,-6,-35,22,13,-35,3,-39,-15,10,55
38,31,-7,-35,22,12,-33,2,-43,-19,5,58
35,29,-6,-32,20,11,-34,2,-44,-20,3,61
35,28,-8,-32,21,10,-40,2,-44,-18,11,63
37,26,-11,-32,24,8,-40,-4,-47,-23,8,61
42,26,-17,-34,29,5,-36,-11,-51,-29,10,53
47,28,-19,-38,32,4,-37,-16,-54,-34,7,47
47,30,-17,-39,31,6,-38,-18,-53,-39,0,41
49,32,-17,-41,32,8,-39,-18,-53,-40,0,36
46,32,-14,-39,30,9,-40,-17,-52,-43,-8,33
46,30,-16,-38,30,7,-39,-16,-52,-44,-10,31
46,27,-19,-37,32,4,-38,-15,-53,-45,-14,33
43,23,-21,-33,32,1,-40,-16,-54,-47,-17,35
43,19,-24,-32,33,-2,-45,-16,-58,-48,-12,38
41,17,-25,-29,33,-4,-45,-17,-59,-50,-13,39
41,15,-26,-28,33,-6,-40,-16,-59,-49,-4,38
41,14,-27,-28,34,-7,-40,-16,-60,-50,-2,36
38,12,-26,-25,31,-7,-43,-15,-59,-51,-5,31
38,13,-25,-26,31,-6,-44,-14,-59,-51,-4,29
34,13,-21,-24,27,-4,-46,-15,-59,-53,-13,28
33,11,-22,-22,27,-5,-45,-14,-59,-52,-14,25
33,8,-25,-21,29,-8,-45,-16,-62,-51,-18,25
33,8,-25,-20,29,-9,-44,-17,-63,-52,-23,25
37,11,-26,-25,31,-7,-43,-18,-64,-51,-18,29
38,13,-24,-26,31,-5,-42,-19,-66,-52,-20,32
39,15,-23,-27,31,-4,-38,-18,-68,-49,-12,33
37,16,-21,-27,29,-3,-39,-18,-68,-48,-10,33
30,13,-16,-22,23,-1,-41,-18,-67,-49,-14,29
31,14,-17,-23,23,-1,-42,-20,-67,-48,-12,29
31,14,-17,-23,24,-1,-43,-25,-66,-51,-21,29
32,13,-19,-23,25,-3,-43,-26,-65,-50,-21,30
33,11,-22,-22,27,-6,-45,-26,-65,-48,-23,32
31,9,-22,-20,26,-6,-48,-25,-63,-48,-26,34
32,10,-22,-21,27,-6,-53,-24,-63,-46,-20,37
32,9,-23,-21,27,-7,-54,-26,-65,-46,-23,39
35,8,-27,-22,31,-10,-51,-27,-67,-43,-17,39
37,7,-31,-22,34,-12,-50,-28,-69,-42,-15,38
35,3,-33,-19,34,-15,-49,-28,-68,-41,-15,34
35,3,-32,-19,33,-14,-48,-25,-67,-36,-10,33
30,5,-25,-18,27,-10,-46,-23,-64,-31,-15,32
28,6,-22,-17,25,-8,-43,-23,-64,-28,-15,32
29,6,-23,-17,25,-9,-41,-25,-66,-31,-19,35
27,5,-22,-16,24,-9,-42,-27,-68,-32,-22,35
30,6,-23,-18,26,-9,-45,-29,-70,-32,-15,37
28,8,-20,-18,23,-6,-43,-29,-71,-34,-18,38
26,11,-15,-19,20,-2,-36,-27,-72,-34,-13,37
25,11,-14,-18,19,-2,-34,-27,-73,-35,-12,37
21,7,-14,-14,17,-3,-34,-26,-73,-35,-13,34
22,6,-16,-15,19,-5,-34,-26,-73,-34,-10,34
23,6,-17,-15,19,-5,-36,-27,-71,-36,-17,36
26,6,-20,-17,23,-7,-35,-27,-72,-36,-17,35
32,7,-25,-20,28,-9,-35,-28,-75,-36,-20,36
33,7,-26,-20,29,-10,-36,-27,-75,-37,-24,35
36,8,-28,-23,32,-10,-39,-25,-75,-35,-19,37
36,8,-28,-22,32,-10,-38,-26,-75,-37,-23,38
36,8,-28,-23,32,-10,-32,-27,-75,-36,-17,37
35,8,-27,-22,31,-9,-32,-27,-75,-35,-14,37
30,7,-23,-19,26,-8,-33,-25,-73,-33,-13,34
30,7,-23,-19,27,-8,-33,-25,-72,-32,-9,33
29,6,-24,-18,26,-9,-32,-29,-71,-37,-17,32
30,6,-24,-18,26,-9,-28,-30,-71,-36,-16,30
31,8,-23,-19,26,-8,-26,-33,-73,-32,-19,32
30,8,-22,-19,25,-7,-26,-35,-74,-34,-24,32
33,10,-24,-22,28,-7,-31,-36,-76,-36,-22,34
33,11,-22,-22,27,-5,-31,-37,-76,-38,-26,36
33,14,-19,-24,26,-3,-26,-34,-74,-36,-20,37
31,14,-17,-23,24,-2,-24,-33,-73,-35,-18,37
24,11,-14,-18,19,-2,-22,-31,-70,-34,-19,35
23,9,-14,-16,18,-2,-21,-31,-69,-34,-15,34
19,7,-12,-13,15,-2,-22,-34,-65,-38,-22,34
17,5,-12,-12,15,-4,-21,-35,-65,-38,-20,33
18,3,-15,-10,16,-6,-21,-37,-66,-38,-22,32
15,0,-15,-8,15,-7,-24,-38,-65,-38,-26,31
17,0,-17,-9,17,-9,-31,-40,-66,-35,-21,31
18,-1,-20,-9,19,-10,-33,-43,-67,-36,-25,28
24,-2,-25,-11,24,-14,-31,-45,-69,-36,-19,20
27,-1,-28,-13,27,-15,-28,-47,-71,-36,-19,19
26,-1,-27,-12,26,-14,-21,-47,-70,-36,-21,17
25,-1,-26,-12,26,-14,-20,-47,-70,-37,-17,18
20,-3,-22,-9,21,-12,-21,-48,-68,-40,-24,19
20,-5,-25,-8,22,-15,-20,-49,-69,-43,-24,18
24,-8,-32,-8,28,-20,-20,-52,-71,-47,-30,17
20,-13,-33,-4,27,-23,-20,-52,-69,-50,-34,17
18,-16,-34,-1,26,-25,-23,-50,-68,-50,-30,18
14,-18,-32,1,23,-25,-21,-50,-66,-51,-32,21
14,-17,-31,2,22,-24,-16,-49,-64,-50,-24,24
13,-19,-32,3,22,-25,-17,-49,-63,-48,-20,26
8,-24,-32,7,20,-28,-20,-47,-59,-46,-18,24
10,-26,-36,8,23,-31,-22,-47,-58,-45,-13,23
9,-29,-38,10,24,-34,-23,-50,-57,-50,-20,21
9,-29,-38,10,23,-34,-20,-48,-55,-52,-19,20
8,-27,-35,10,21,-31,-17,-46,-52,-54,-23,24
4,-30,-34,12,19,-32,-16,-43,-50,-54,-25,23
6,-33,-39,13,22,-36,-19,-40,-51,-52,-19,23
7,-35,-42,14,24,-39,-18,-39,-49,-52,-20,24
12,-35,-47,11,29,-41,-12,-35,-47,-52,-12,25
15,-36,-51,10,33,-43,-12,-34,-46,-50,-10,26
13,-38,-52,12,32,-45,-12,-31,-45,-48,-9,24
15,-39,-54,12,35,-47,-13,-29,-45,-46,-4,24
14,-40,-54,13,34,-47,-13,-28,-42,-48,-9,23
12,-43,-55,15,33,-49,-9,-26,-41,-46,-6,22
10,-45,-56,17,33,-51,-5,-25,-41,-43,-8,21
7,-47,-54,19,30,-50,-4,-24,-38,-41,-8,22
9,-45,-54,17,31,-49,-8,-21,-36,-37,1,26
8,-44,-53,18,30,-49,-7,-20,-33,-36,3,28
9,-45,-54,18,31,-49,0,-17,-30,-33,14,29
11,-47,-58,18,34,-52,0,-15,-30,-30,21,30
11,-52,-63,21,36,-58,-2,-11,-30,-27,26,29
15,-55,-70,20,42,-63,-2,-7,-30,-23,35,30
17,-58,-75,21,46,-67,-2,-4,-28,-23,31,30
17,-62,-79,22,48,-71,4,-1,-26,-20,37,32
16,-66,-82,24,49,-74,10,2,-24,-17,37,36
14,-70,-84,28,49,-77,11,5,-22,-16,37,38
16,-74,-90,29,52,-82,4,8,-22,-13,42,40
16,-79,-95,32,55,-87,4,11,-21,-12,42,42
18,-85,-104,33,61,-94,8,16,-21,-7,53,42
19,-90,-109,35,64,-99,9,20,-20,-3,58,44
15,-95,-110,40,62,-103,11,25,-17,2,62,44
17,-97,-114,40,65,-106,11,29,-16,7,69,45
18,-99,-116,40,67,-107,10,30,-13,8,66,46
17,-102,-119,42,68,-110,12,35,-11,12,71,44
16,-106,-121,45,68,-114,14,39,-10,12,72,43
13,-110,-123,48,68,-117,15,45,-8,14,73,41
16,-112,-128,47,72,-120,13,50,-7,18,80,42
18,-113,-130,47,74,-122,14,53,-7,18,78,40
22,-112,-134,45,78,-123,18,57,-7,20,87,37
25,-114,-138,44,81,-126,20,60,-7,22,89,35
23,-119,-141,48,82,-130,23,65,-6,24,89,32
23,-121,-144,48,84,-132,26,70,-6,24,94,30
20,-123,-143,51,82,-133,28,75,-4,18,89,27
21,-126,-147,52,83,-136,33,81,-4,17,91,23
22,-130,-152,53,87,-141,36,85,-4,17,88,21
22,-135,-157,56,89,-146,36,88,-4,15,83,17
25,-139,-164,57,95,-152,31,91,-6,13,84,16
23,-143,-166,60,94,-154,30,94,-6,12,80,14
21,-145,-166,62,93,-156,32,99,-6,14,89,11
18,-148,-166,65,92,-157,31,103,-6,13,89,8
11,-153,-163,71,87,-158,31,106,-5,12,87,2
8,-155,-163,74,85,-159,29,111,-5,11,90,-1
1,-159,-160,79,80,-159,27,115,-3,8,81,-5
-3,-161,-159,82,78,-160,29,117,-4,7,80,-9
-5,-163,-158,83,76,-160,31,114,-7,4,73,-11
-8,-165,-157,86,74,-161,30,116,-6,2,68,-14
-5,-165,-160,85,77,-162,26,121,-4,2,71,-14
-3,-165,-163,84,80,-164,23,121,-3,0,66,-15
5,-164,-169,79,87,-167,22,121,-5,0,71,-18
11,-162,-173,75,92,-167,20,121,-8,-1,70,-19
13,-160,-173,74,93,-167,20,122,-9,-1,69,-22
18,-158,-176,70,97,-167,16,121,-11,-1,71,-24
20,-158,-178,69,99,-168,12,116,-11,-5,63,-27
21,-156,-177,68,99,-167,14,115,-12,-4,64,-28
19,-154,-173,67,96,-164,18,112,-13,-5,58,-26
16,-154,-169,69,92,-161,16,109,-13,-5,54,-27
17,-152,-169,67,93,-160,9,105,-15,-3,58,-26
16,-149,-165,67,90,-157,6,101,-15,-5,53,-26
17,-145,-162,64,89,-153,9,99,-16,-4,59,-25
16,-143,-159,63,87,-151,7,98,-16,-4,58,-22
11,-145,-156,67,83,-150,6,97,-15,-3,57,-19
12,-142,-154,65,83,-148,2,96,-17,-2,59,-17
11,-139,-150,64,80,-145,-3,93,-21,-5,50,-19
10,-137,-146,63,78,-142,-3,90,-24,-6,50,-21
8,-134,-142,63,75,-138,-1,85,-27,-9,43,-22
6,-133,-139,63,72,-136,-3,80,-30,-14,35,-24
9,-130,-139,60,74,-135,-10,76,-34,-18,31,-24
8,-130,-139,61,73,-134,-13,70,-37,-24,22,-25
9,-131,-141,61,75,-136,-13,67,-41,-26,26,-28
10,-130,-140,59,75,-135,-16,59,-45,-30,22,-31
9,-127,-136,59,73,-132,-19,52,-48,-33,18,-36
11,-122,-133,56,72,-128,-21,46,-50,-35,18,-37
7,-118,-125,55,66,-121,-23,40,-50,-40,6,-38
5,-114,-119,55,62,-117,-21,35,-50,-43,4,-39
1,-111,-112,55,57,-112,-17,29,-51,-47,-3,-39
-2,-110,-108,55,53,-109,-17,23,-52,-51,-9,-41
2,-106,-108,52,55,-107,-23,16,-55,-52,-10,-42
5,-103,-108,49,56,-105,-25,8,-58,-59,-19,-45
13,-98,-111,43,62,-105,-24,0,-62,-64,-20,-51
13,-97,-109,42,61,-103,-22,-6,-64,-68,-26,-50
5,-98,-103,46,54,-101,-19,-8,-63,-71,-31,-46
1,-98,-100,48,50,-99,-22,-11,-65,-72,-32,-47
-7,-101,-93,54,43,-97,-27,-17,-65,-76,-42,-53
-10,-101,-91,55,40,-96,-27,-21,-67,-77,-44,-60
-10,-100,-90,55,39,-95,-25,-28,-68,-81,-53,-64
-13,-99,-86,56,36,-92,-24,-30,-67,-83,-60,-67
-12,-96,-83,54,35,-90,-27,-30,-66,-84,-60,-64
-15,-94,-80,54,32,-87,-27,-33,-63,-86,-68,-65
-13,-92,-79,53,33,-86,-24,-35,-58,-84,-66,-67
-12,-92,-79,52,33,-85,-25,-39,-59,-83,-69,-69
-14,-93,-79,53,32,-86,-25,-43,-61,-81,-69,-73
-10,-91,-80,50,35,-86,-27,-45,-63,-79,-65,-73
-9,-88,-79,49,35,-84,-31,-48,-62,-81,-72,-72
-12,-86,-74,49,31,-80,-29,-49,-60,-79,-70,-71
-20,-84,-64,52,21,-74,-26,-51,-59,-78,-75,-67
-28,-85,-57,56,14,-71,-26,-52,-58,-77,-78,-67
-30,-86,-56,58,13,-71,-31,-52,-58,-75,-74,-67
-32,-86,-53,59,10,-69,-32,-55,-59,-76,-79,-68
-30,-83,-53,56,11,-68,-31,-58,-61,-75,-74,-70
-29,-81,-53,55,12,-67,-30,-60,-63,-75,-75,-70
-31,-83,-52,57,10,-67,-26,-59,-61,-74,-75,-72
-25,-82,-56,53,15,-69,-26,-57,-61,-73,-71,-73
-21,-81,-61,51,20,-71,-28,-56,-60,-75,-77,-75
-18,-83,-65,50,23,-74,-27,-55,-59,-73,-74,-77
-19,-86,-66,52,23,-76,-27,-56,-60,-72,-77,-77
-21,-90,-69,55,24,-79,-28,-59,-62,-72,-81,-79
-18,-92,-74,55,28,-83,-34,-63,-67,-73,-81,-77
-19,-94,-75,56,28,-85,-36,-65,-69,-75,-87,-76
-18,-95,-77,56,29,-86,-36,-62,-72,-75,-79,-75
-20,-99,-79,59,30,-89,-39,-62,-74,-76,-79,-75
-25,-107,-82,66,28,-94,-43,-61,-76,-77,-78,-78
-25,-112,-87,68,31,-99,-49,-61,-81,-79,-76,-80
-26,-116,-90,71,31,-103,-56,-61,-86,-85,-85,-82
-24,-121,-97,72,36,-109,-59,-59,-91,-89,-85,-84
-21,-126,-105,73,42,-115,-60,-58,-96,-93,-91,-83
-18,-130,-112,74,47,-121,-66,-59,-101,-97,-95,-84
-11,-131,-120,71,54,-125,-76,-60,-109,-100,-95,-83
-11,-131,-120,71,54,-125,-82,-62,-115,-105,-100,-83
-11,-129,-118,70,53,-123,-83,-61,-120,-108,-93,-82
-13,-127,-115,70,51,-121,-84,-60,-123,-109,-93,-80
-18,-128,-110,73,46,-119,-83,-57,-124,-107,-90,-80
-18,-124,-106,71,44,-115,-81,-56,-125,-107,-86,-78
-20,-119,-99,69,39,-109,-78,-57,-124,-111,-93,-76
-24,-120,-97,72,36,-109,-68,-54,-120,-110,-90,-76
-31,-127,-96,79,32,-111,-54,-50,-115,-109,-92,-74
-34,-129,-95,81,30,-112,-40,-43,-108,-106,-91,-72
-28,-125,-97,76,34,-111,-30,-33,-101,-99,-84,-68
-27,-125,-98,76,35,-112,-20,-28,-95,-96,-84,-66
-24,-127,-103,76,39,-115,-11,-23,-92,-91,-74,-66
-23,-129,-107,76,42,-118,-2,-20,-86,-88,-70,-64
-23,-132,-109,78,43,-121,9,-15,-76,-83,-66,-64
-18,-133,-114,75,48,-123,14,-11,-68,-77,-57,-61
-16,-133,-117,74,50,-125,14,-10,-60,-74,-57,-59
-12,-131,-119,71,53,-125,19,-7,-53,-68,-49,-56
-9,-127,-118,68,54,-123,26,-6,-46,-64,-50,-51
-11,-127,-116,69,52,-121,29,-2,-37,-60,-49,-47
-11,-126,-115,68,52,-120,28,3,-29,-54,-43,-41
-12,-125,-113,68,50,-119,29,7,-23,-50,-42,-38
-8,-122,-114,65,53,-118,31,13,-19,-42,-29,-36
-4,-120,-116,62,56,-118,35,17,-14,-37,-25,-33
-1,-119,-118,60,58,-118,44,21,-9,-31,-20,-32
0,-116,-117,58,58,-116,49,25,-3,-25,-12,-27
-5,-114,-109,60,52,-112,51,28,6,-24,-14,-22
-8,-111,-102,59,47,-107,57,31,13,-19,-8,-18
-12,-107,-94,60,41,-101,63,32,19,-15,-8,-14
-16,-103,-87,59,35,-95,65,35,26,-11,-7,-11
-14,-96,-82,55,34,-89,62,38,33,-6,0,-3
-16,-91,-76,53,30,-83,62,40,37,-4,-1,0
-14,-86,-72,50,29,-79,64,42,37,-1,8,2
-16,-81,-65,49,25,-73,64,43,39,3,13,5
-22,-78,-56,50,17,-67,65,46,42,8,20,6
-24,-74,-50,49,13,-62,60,43,42,11,28,8
-28,-70,-43,49,8,-57,51,37,40,9,25,7
-27,-65,-38,46,5,-51,46,32,37,9,28,4
-27,-59,-32,43,2,-46,43,24,34,6,21,2
-28,-54,-26,41,-1,-40,38,18,30,5,17,0
-25,-47,-22,36,-2,-35,30,12,24,4,17,1
-26,-44,-18,35,-4,-31,24,7,20,3,13,0
-23,-41,-18,32,-2,-30,21,6,15,5,23,-2
-20,-38,-18,29,-2,-28,18,4,12,4,22,-2
-20,-36,-16,27,-2,-26,17,4,10,2,21,-4
-16,-33,-17,25,0,-25,15,4,5,3,25,-2
-18,-33,-15,26,-2,-24,11,5,2,2,20,0
-19,-33,-14,26,-2,-24,12,7,0,3,23,-1
-21,-33,-13,27,-4,-23,15,6,0,2,19,-1
-22,-32,-10,27,-7,-21,14,7,2,1,17,-3
-19,-28,-8,23,-6,-18,8,7,2,2,20,-1
-19,-25,-5,22,-7,-15,4,3,1,1,16,-2
-16,-21,-5,18,-5,-13,1,-2,-2,3,23,-4
-14,-17,-4,15,-5,-10,0,-8,-4,1,21,-4
-14,-15,-1,14,-7,-8,3,-12,-5,-1,19,-6
-13,-11,2,12,-7,-5,0,-14,-5,0,23,-4
-18,-10,8,14,-13,-1,-5,-15,-2,0,19,-4
-17,-7,10,12,-14,1,-5,-15,-3,1,23,-3
-16,-4,12,10,-14,4,-2,-17,-4,-1,21,0
-16,-2,14,9,-15,6,-1,-16,-4,-2,20,1
-11,1,13,5,-12,7,-5,-14,-4,0,24,5
-11,1,12,5,-12,6,-9,-12,-3,0,22,7
-9,-1,8,5,-9,3,-13,-9,-4,2,31,7
-4,0,4,2,-4,2,-13,-7,-3,1,32,9
1,1,0,-1,0,1,-7,-4,-2,-1,34,9
6,2,-4,-4,5,-1,-8,-1,-2,0,39,10
3,-1,-4,-1,3,-2,-13,1,-3,-1,35,9
6,0,-6,-3,6,-3,-13,0,-6,-3,37,6
9,1,-8,-5,8,-3,-12,-7,-11,-8,29,3
6,4,-2,-5,4,1,-15,-18,-15,-12,21,-4
3,9,6,-6,-1,8,-24,-33,-22,-15,17,-9
-4,14,17,-5,-10,15,-27,-53,-27,-24,2,-21
-8,19,27,-6,-17,23,-26,-74,-33,-33,-5,-38
-19,16,35,2,-27,26,-17,-91,-35,-47,-26,-66
-38,4,42,17,-40,23,1,-102,-33,-64,-49,-105
-51,-12,40,32,-46,14,19,-109,-29,-79,-80,-157
-68,-34,34,51,-51,0,39,-111,-19,-97,-127,-222
-88,-65,23,76,-56,-21,73,-110,-7,-114,-176,-303
-113,-102,11,107,-62,-46,116,-108,7,-134,-239,-394
-147,-154,-6,150,-71,-80,166,-99,29,-153,-307,-500
-185,-214,-29,199,-78,-122,220,-85,55,-170,-377,-613
-233,-284,-51,258,-91,-167,283,-61,92,-182,-450,-737
-283,-358,-75,321,-104,-217,353,-29,137,-185,-512,-868
-333,-438,-104,386,-115,-271,414,4,180,-188,-581,-1001
-385,-522,-137,453,-124,-329,470,41,224,-187,-648,-1137
-424,-592,-168,508,-128,-380,508,78,274,-170,-698,-1223
-461,-655,-194,558,-133,-425,534,114,331,-145,-745,-1274
-474,-697,-224,585,-125,-460,554,173,393,-84,-726,-1250
-471,-725,-253,598,-109,-489,565,246,461,1,-671,-1165
-445,-733,-288,589,-78,-510,560,335,524,105,-559,-1036
-394,-723,-329,558,-33,-526,538,435,582,225,-398,-866
-342,-684,-342,513,0,-513,509,514,637,345,-227,-682
-283,-622,-339,452,28,-480,475,583,687,472,-27,-483
-228,-545,-317,387,44,-431,433,626,722,584,156,-297
-179,-458,-279,318,50,-369,387,652,746,688,335,-123
-129,-367,-237,248,54,-302,336,659,752,766,485,24
-89,-276,-187,182,49,-231,284,649,747,820,599,144
-50,-193,-143,121,46,-168,240,627,725,846,684,229
-17,-117,-100,67,42,-109,200,590,690,846,728,285
7,-61,-67,27,37,-64,165,545,643,819,736,308
28,-17,-45,-5,36,-31,133,493,586,774,716,312
42,13,-28,-28,35,-7,109,444,527,711,669,301
58,36,-22,-47,40,7,92,400,465,640,619,283
68,51,-17,-59,42,17,76,355,406,568,560,266
71,58,-13,-65,42,23,65,311,350,498,504,248
76,65,-11,-71,44,27,49,271,297,432,456,233
76,70,-6,-73,41,32,32,231,249,367,403,214
71,73,1,-72,35,37,21,196,208,313,364,196
60,74,14,-67,23,44,13,160,173,261,318,177
51,74,23,-63,14,48,2,128,142,215,277,153
48,74,26,-61,11,50,-13,96,111,175,240,130
44,73,29,-59,8,51,-26,68,85,137,199,109
47,73,26,-60,11,49,-35,47,62,106,173,94
48,70,22,-59,13,46,-41,31,44,79,146,87
46,64,18,-55,14,41,-41,23,32,59,128,83
50,59,9,-55,20,34,-45,19,19,44,120,81
49,52,4,-51,23,28,-51,16,9,29,106,75
50,48,-2,-49,26,23,-50,12,0,16,101,68
47,44,-3,-46,25,21,-47,2,-7,0,84,59
40,41,1,-40,19,21,-47,-6,-12,-13,71,49
34,40,6,-37,14,23,-53,-14,-18,-23,61,43
25,37,12,-31,7,24,-56,-23,-22,-33,47,36
22,34,12,-28,5,23,-58,-28,-27,-40,46,33
17,31,14,-24,1,22,-60,-32,-32,-46,39,33
11,26,15,-19,-2,21,-58,-32,-35,-48,37,34
12,25,13,-18,-1,19,-61,-30,-38,-50,40,37
10,23,12,-17,-1,17,-64,-27,-38,-54,35,37
10,21,11,-16,0,16,-60,-24,-39,-59,36,36
7,19,12,-13,-3,16,-53,-26,-39,-67,26,35
5,18,13,-11,-4,15,-52,-30,-40,-73,20,29
9,19,10,-14,0,14,-61,-37,-45,-76,17,23
9,19,10,-14,0,14,-65,-43,-46,-79,7,19
14,21,7,-18,4,14,-66,-47,-47,-77,9,16
20,24,5,-22,7,15,-65,-49,-47,-77,6,18
25,27,3,-26,11,15,-59,-46,-47,-75,9,19
30,29,-1,-29,16,14,-59,-44,-50,-72,16,23
28,26,-2,-27,15,12,-62,-43,-53,-70,15,24
23,19,-3,-21,13,8,-60,-43,-56,-71,18,22
10,9,-1,-10,6,4,-57,-47,-57,-77,10,18
4,4,0,-4,2,2,-55,-48,-58,-81,5,13
6,5,-1,-6,4,2,-56,-49,-60,-81,3,12
4,6,2,-5,1,4,-57,-50,-61,-83,-3,10
6,9,3,-8,1,6,-58,-51,-63,-82,3,11
6,10,4,-8,1,7,-57,-51,-63,-83,2,12
6,9,4,-7,1,6,-53,-49,-62,-82,6,11
10,10,0,-10,5,5,-53,-47,-61,-81,11,13
12,11,-1,-11,6,5,-56,-46,-60,-84,7,13
15,11,-4,-13,9,4,-54,-43,-59,-83,13,11
15,11,-5,-13,10,3,-51,-43,-58,-85,9,9
14,10,-4,-12,9,3,-48,-44,-57,-87,5,5
15,12,-3,-14,9,4,-48,-48,-57,-89,1,5
12,10,-2,-11,7,4,-49,-52,-58,-91,-6,3
12,7,-4,-9,8,2,-50,-55,-60,-91,1,3
12,6,-6,-9,9,0,-50,-58,-61,-92,-2,4
13,5,-8,-9,11,-2,-45,-60,-61,-93,-1,2
16,4,-12,-10,14,-4,-44,-61,-61,-93,3,4
14,1,-13,-7,14,-6,-46,-60,-59,-95,-1,3
14,1,-14,-8,14,-6,-44,-59,-58,-95,4,5
12,3,-10,-7,11,-3,-41,-59,-56,-98,0,7
7,3,-4,-5,6,0,-41,-60,-56,-99,-3,5
4,4,1,-4,1,3,-46,-61,-58,-99,-5,3
-1,3,3,-1,-2,3,-48,-63,-59,-101,-12,0
2,1,0,-1,1,1,-48,-63,-59,-101,-6,-1
3,1,-3,-2,3,-1,-46,-64,-59,-101,-9,0
5,0,-5,-3,5,-2,-40,-62,-59,-100,-7,0
9,1,-8,-5,9,-4,-41,-60,-61,-98,-4,1
8,0,-8,-4,8,-4,-42,-60,-60,-100,-9,-2
9,-2,-11,-3,10,-6,-39,-61,-62,-100,-5,-4
7,-5,-11,-1,9,-8,-34,-65,-63,-103,-11,-6
2,-7,-9,2,6,-8,-32,-67,-64,-105,-14,-9
0,-8,-7,4,4,-7,-35,-70,-66,-105,-15,-10
-2,-10,-9,6,3,-9,-37,-73,-66,-107,-21,-11
3,-13,-16,5,10,-15,-40,-73,-68,-106,-16,-11
5,-14,-19,5,12,-17,-39,-75,-69,-107,-19,-10
5,-15,-20,5,12,-17,-33,-76,-70,-107,-18,-11
2,-14,-15,6,9,-14,-31,-74,-70,-104,-13,-7
-10,-14,-4,12,-3,-9,-30,-69,-66,-102,-14,-4
-13,-14,-1,13,-6,-7,-27,-66,-64,-100,-9,-4
-14,-15,0,14,-7,-7,-23,-66,-63,-101,-13,-5
-16,-16,0,16,-8,-8,-23,-67,-63,-103,-17,-9
-14,-17,-3,16,-6,-10,-28,-72,-67,-104,-21,-11
-16,-18,-2,17,-7,-10,-31,-76,-68,-107,-29,-14
-12,-18,-5,15,-3,-11,-34,-78,-71,-106,-25,-16
-12,-18,-6,15,-3,-12,-34,-82,-71,-107,-27,-18
-14,-21,-7,17,-4,-14,-31,-85,-71,-108,-25,-21
-13,-23,-10,18,-2,-16,-35,-88,-74,-109,-23,-23
-17,-27,-10,23,-4,-19,-41,-92,-75,-113,-30,-26
-17,-31,-14,24,-2,-22,-40,-94,-77,-115,-29,-28
-18,-33,-15,26,-1,-24,-34,-97,-77,-120,-37,-29
-19,-36,-17,27,-1,-26,-31,-99,-76,-123,-41,-32
-16,-35,-20,26,2,-27,-32,-101,-77,-124,-43,-31
-19,-35,-16,27,-1,-25,-32,-104,-77,-126,-49,-31
-19,-32,-13,26,-3,-23,-32,-105,-77,-124,-42,-31
-20,-30,-10,25,-5,-20,-28,-108,-77,-125,-45,-30
-20,-29,-10,25,-5,-19,-21,-108,-77,-125,-43,-31
-16,-29,-13,23,-2,-21,-20,-109,-79,-125,-40,-29
-17,-32,-15,25,-1,-23,-21,-110,-79,-128,-46,-28
-20,-35,-15,27,-2,-25,-20,-111,-81,-129,-44,-29
-29,-39,-11,34,-9,-25,-18,-114,-83,-131,-51,-29
-32,-41,-9,37,-12,-25,-17,-117,-83,-133,-56,-32
-29,-40,-11,35,-9,-26,-18,-121,-84,-137,-59,-33
-34,-39,-6,37,-14,-22,-20,-126,-84,-142,-67,-35
-37,-36,1,37,-19,-18,-22,-130,-85,-143,-63,-36
-39,-36,3,37,-21,-16,-21,-131,-84,-146,-65,-37
-37,-37,1,37,-19,-18,-14,-128,-83,-148,-61,-41
-32,-36,-4,34,-14,-20,-15,-130,-84,-151,-59,-43
-30,-37,-7,34,-12,-22,-18,-137,-85,-155,-65,-48
-29,-38,-9,34,-10,-24,-18,-143,-86,-159,-64,-51
-33,-41,-8,37,-12,-24,-15,-150,-88,-166,-72,-52
-37,-43,-6,40,-15,-24,-13,-152,-87,-170,-75,-54
-37,-42,-5,40,-16,-23,-14,-153,-85,-171,-76,-53
-41,-46,-4,44,-19,-25,-14,-154,-82,-174,-81,-55
-42,-50,-8,46,-17,-29,-15,-155,-80,-174,-74,-56
-44,-54,-10,49,-17,-32,-12,-159,-79,-176,-77,-57
-45,-58,-13,51,-16,-35,-5,-163,-77,-177,-76,-59
-41,-61,-20,51,-11,-40,-6,-166,-78,-177,-72,-58
